PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,1255215543,-21.08792114,71.67870331,-150.5190735,0,0,0,0,0,0, 
1,1255232210,-20.79482841,71.60582733,-150.5122375,-8.874123573,-0.679626524,2.768367767,12.2638092,-0.726018727,-17.09636307, 
2,1255248877,-20.55508614,71.5859375,-150.4171753,-8.873473167,-0.6139732,2.761705875,5.177547455,0.610038102,-22.47760963, 
3,1255265544,-20.6653862,71.59397125,-150.5550232,-8.834931374,-0.518205583,2.797576189,-1.303010821,2.630488157,-26.36458778, 
4,1255282211,-20.99964523,71.61161804,-150.8444824,-8.921975136,-0.508252025,2.836314678,-4.977266312,4.914534569,-28.2348175, 
5,1255298878,-21.6331234,71.62220764,-151.3417816,-8.999269485,-0.533705711,2.816626549,-9.409168243,6.516964436,-30.41497612, 
6,1255315545,-22.58507347,71.62055969,-152.1087189,-9.107514381,-0.613553643,2.853754997,-13.16219521,7.450582981,-32.92959213, 
7,1255332212,-23.71978951,71.60500336,-153.0272827,-9.238413811,-0.62760812,2.94905591,-14.73860455,8.055751801,-33.52262878, 
8,1255348879,-24.88030243,71.57000732,-153.9749298,-9.315173149,-0.664987206,3.0244174,-14.92427063,7.976594448,-32.75324249, 
9,1255365546,-26.11391258,71.50624847,-155.0048676,-9.2879076,-0.784249663,2.952279091,-14.83854866,8.038732529,-33.56637955, 
10,1255382213,-27.42165565,71.42072296,-156.1270142,-9.356492043,-0.918024421,2.915961504,-13.79258537,8.166682243,-34.29207993, 
11,1255398880,-28.74539185,71.32423401,-157.3189087,-9.4090662,-1.100381374,2.840000868,-10.71239662,8.521111488,-34.33106995, 
12,1255415547,-30.03307915,71.22402954,-158.5379486,-9.492028236,-1.15633142,2.849095583,-6.265688419,8.807599068,-33.55548477, 
13,1255432214,-31.19124031,71.12252808,-159.6772461,-9.486642838,-0.968567908,2.856375217,-3.17517972,8.165710449,-31.12325668, 
14,1255448881,-32.21412277,71.02703094,-160.682312,-9.41118145,-0.917464077,2.895764828,-3.035434484,7.366996765,-28.44338799, 
15,1255465548,-33.11739349,70.94522095,-161.5365906,-9.480053902,-0.881772876,2.954768896,-4.74574995,6.855350971,-25.41077805, 
16,1255482215,-33.82988358,70.88626862,-162.1495667,-9.541958809,-0.924830616,3.002420664,-7.141423225,5.771659374,-20.74203491, 
17,1255498882,-34.39470291,70.84513092,-162.5746918,-9.502543449,-1.105391979,2.984278202,-9.163635254,4.857295036,-16.99242401, 
18,1255515549,-34.7960968,70.82949829,-162.8335114,-9.367800713,-1.191296339,2.918233156,-8.702422142,4.444236279,-13.08897209, 
19,1255532216,-35.07554626,70.84547424,-162.9782104,-9.209679604,-1.22127378,2.819494486,-7.831151009,4.763830185,-9.690363884, 
20,1255548883,-35.28899765,70.89295959,-163.0655365,-9.26220417,-1.314773321,2.725590706,-7.514744282,5.524539948,-7.074409962, 
21,1255565550,-35.48737335,70.95230103,-163.125061,-9.39744091,-1.413037419,2.58670783,-7.886652946,5.665538311,-5.774578094, 
22,1255582217,-35.71442795,71.01344299,-163.1858978,-9.388744354,-1.416482091,2.433223248,-9.08986187,5.532787323,-5.317493439, 
23,1255598884,-35.9834671,71.07161713,-163.2875824,-9.218002319,-1.494612098,2.343254328,-9.281176567,5.46445322,-5.59744072, 
24,1255615551,-36.29836273,71.12689209,-163.4649048,-9.025524139,-1.503804088,2.305296421,-7.856276512,5.828038216,-6.341950893, 
25,1255632218,-36.63597488,71.17345428,-163.6642456,-8.9522295,-1.287770629,2.270295382,-7.785599709,5.452069759,-6.563898087, 
26,1255648885,-37.05270386,71.20973206,-163.8948059,-8.910707474,-1.106283188,2.290467501,-10.79930687,5.126737595,-7.147612572, 
27,1255665552,-37.59923172,71.21814728,-164.1628418,-9.00732708,-1.08169651,2.307413578,-16.69700241,4.097057343,-8.559019089, 
28,1255682219,-38.25125885,71.19083405,-164.4540405,-9.202269554,-1.194890857,2.27965188,-21.83006859,2.625749111,-10.1281147, 
29,1255698886,-38.97612762,71.12760925,-164.7857513,-9.394330978,-1.262881279,2.348522425,-24.1925087,1.357649326,-11.91124058, 
30,1255715553,-39.66602707,71.04691315,-165.0995941,-9.581329346,-1.164235592,2.463665247,-23.15720177,0.367011666,-12.23443508, 
31,1255732220,-40.20521164,70.96898651,-165.2908783,-9.717392921,-1.043125033,2.545585871,-21.13287735,-0.951641858,-10.31175804, 
32,1255748887,-40.52998734,70.90332031,-165.2979279,-9.74269104,-1.159273505,2.602757215,-19.25195503,-2.765112877,-7.063429832, 
33,1255765554,-40.59782028,70.86638641,-165.0898438,-9.820854187,-1.325475097,2.635091305,-16.10666275,-4.165448666,-2.759373665, 
34,1255782221,-40.32836914,70.87465668,-164.6202087,-9.872433662,-1.486603379,2.605512381,-10.88732338,-5.440101624,3.016172171, 
